Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1000,Male,Yes,2,Graduate,Yes,3786,6033,102,180,1,Urban,1
LP1001,Male,Yes,1,Graduate,Yes,10695,1628,416,360,0,Rural,0
LP1002,Female,Yes,1,Not Graduate,No,6052,1273,160,300,0,Urban,0
LP1003,Female,Yes,2,Not Graduate,No,14723,355,423,360,0,Rural,0
LP1004,Male,No,2,Graduate,Yes,2250,5417,166,300,0,Urban,0
LP1005,Male,No,2,Not Graduate,No,4164,3032,231,240,1,Semiurban,1
LP1006,Male,Yes,1,Graduate,No,7716,2211,377,240,1,Urban,0
LP1007,Male,Yes,2,Not Graduate,No,2584,1728,340,300,0,Semiurban,0
LP1008,Female,No,3,Graduate,No,3787,2020,431,300,1,Semiurban,0
LP1009,Female,No,1,Graduate,No,2989,6191,74,180,0,Semiurban,0
LP1010,Male,No,0,Not Graduate,No,11263,3834,320,300,0,Semiurban,0
LP1011,Male,No,2,Graduate,No,8623,1295,282,180,1,Semiurban,1
LP1012,Male,Yes,2,Graduate,Yes,7626,6246,132,180,1,Rural,1
LP1013,Male,Yes,2,Not Graduate,Yes,2449,1973,499,180,0,Semiurban,0
LP1014,Female,Yes,1,Graduate,No,10507,1352,185,360,0,Semiurban,0
LP1015,Male,No,3,Not Graduate,No,9979,3698,111,240,0,Urban,0
LP1016,Female,Yes,1,Graduate,Yes,2663,5798,373,180,0,Urban,0
LP1017,Male,No,0,Graduate,No,12460,3976,159,240,1,Urban,1
LP1018,Female,No,1,Graduate,Yes,12296,3531,231,360,1,Rural,1
LP1019,Male,Yes,0,Not Graduate,No,14616,7058,105,240,0,Urban,0
LP1020,Female,Yes,3,Graduate,No,9079,2046,497,180,1,Semiurban,0
LP1021,Male,Yes,0,Graduate,Yes,4224,3329,298,360,0,Rural,0
LP1022,Male,Yes,3,Graduate,No,5845,7590,451,360,1,Rural,0
LP1023,Female,Yes,1,Not Graduate,Yes,2458,4744,426,180,1,Urban,0
LP1024,Male,No,1,Graduate,Yes,4544,561,354,180,0,Rural,0
LP1025,Male,Yes,0,Graduate,No,12270,4781,339,300,1,Urban,1
LP1026,Female,Yes,2,Not Graduate,Yes,12504,5287,203,360,1,Urban,1
LP1027,Male,No,0,Graduate,Yes,9788,2172,117,300,0,Urban,0
LP1028,Female,No,1,Not Graduate,No,11521,6611,384,180,1,Semiurban,0
LP1029,Male,Yes,2,Graduate,Yes,13663,4532,129,300,1,Semiurban,1
LP1030,Male,No,1,Not Graduate,No,5614,7416,483,180,0,Semiurban,0
LP1031,Female,No,0,Graduate,No,14134,1071,376,300,0,Semiurban,0
LP1032,Female,No,0,Graduate,Yes,12821,7404,126,180,1,Semiurban,1
LP1033,Male,No,1,Graduate,No,7474,7364,457,180,1,Urban,0
LP1034,Male,Yes,2,Not Graduate,Yes,5378,7082,133,240,1,Urban,1
LP1035,Male,No,3,Graduate,No,4108,6450,409,180,1,Urban,0
LP1036,Female,Yes,1,Not Graduate,No,6500,6721,457,240,0,Urban,0
LP1037,Male,No,2,Not Graduate,Yes,14170,2286,229,360,1,Urban,1
LP1038,Male,No,1,Not Graduate,Yes,3276,4887,272,300,1,Rural,1
LP1039,Male,No,1,Not Graduate,Yes,13112,3572,50,240,1,Rural,1
LP1040,Male,No,2,Graduate,No,9808,2533,391,360,1,Rural,0
LP1041,Female,Yes,1,Not Graduate,No,12597,6128,139,300,1,Semiurban,1
LP1042,Male,No,2,Graduate,No,14373,4751,360,300,1,Rural,0
LP1043,Female,Yes,3,Graduate,Yes,6149,4222,389,300,0,Urban,0
LP1044,Female,Yes,1,Graduate,Yes,2257,2005,293,180,1,Rural,0
LP1045,Male,No,3,Not Graduate,Yes,3917,5374,402,180,0,Rural,0
LP1046,Male,Yes,3,Graduate,Yes,3488,3739,118,360,1,Rural,1
LP1047,Female,No,1,Not Graduate,No,5746,6158,176,300,1,Semiurban,1
LP1048,Male,No,3,Graduate,No,5341,2225,221,300,0,Urban,0
LP1049,Male,Yes,3,Graduate,Yes,2552,3398,258,300,1,Rural,0
LP1050,Male,Yes,3,Not Graduate,Yes,14043,4716,244,360,0,Rural,0
LP1051,Female,No,3,Graduate,No,5095,2235,273,360,0,Rural,0
LP1052,Female,No,1,Not Graduate,Yes,11695,4375,63,360,0,Urban,0
LP1053,Female,Yes,3,Graduate,Yes,5762,3105,217,240,1,Rural,1
LP1054,Female,No,2,Not Graduate,No,2841,3852,59,180,1,Urban,0
LP1055,Male,Yes,0,Graduate,Yes,1833,5089,128,240,0,Rural,0
LP1056,Male,Yes,3,Not Graduate,No,4249,4963,360,180,0,Rural,0
LP1057,Male,Yes,2,Not Graduate,No,13214,1624,88,240,0,Semiurban,0
LP1058,Female,Yes,0,Not Graduate,No,12338,3035,85,300,0,Rural,0
LP1059,Female,Yes,3,Not Graduate,No,13088,1253,272,240,1,Semiurban,1
LP1060,Female,No,3,Not Graduate,No,5522,6805,94,300,1,Urban,1
LP1061,Female,No,2,Graduate,No,6825,1489,299,240,1,Rural,1
LP1062,Female,No,2,Graduate,Yes,2902,1977,418,360,1,Semiurban,0
LP1063,Male,No,3,Not Graduate,Yes,3024,2410,163,360,0,Rural,0
LP1064,Female,No,2,Not Graduate,No,7264,5757,282,300,1,Rural,1
LP1065,Male,Yes,1,Not Graduate,Yes,13671,4389,440,240,0,Urban,0
LP1066,Female,No,2,Graduate,Yes,6353,1863,234,240,1,Urban,1
LP1067,Male,No,0,Graduate,No,12926,7733,114,360,0,Urban,0
LP1068,Female,No,3,Not Graduate,No,4520,7909,76,300,1,Urban,1
LP1069,Male,No,3,Graduate,Yes,3985,1222,465,300,0,Urban,0
LP1070,Male,No,1,Not Graduate,No,8753,2435,490,360,1,Semiurban,0
LP1071,Male,Yes,1,Graduate,No,12320,665,130,240,0,Semiurban,0
LP1072,Male,Yes,0,Not Graduate,No,12794,4864,290,300,0,Urban,0
LP1073,Female,No,3,Graduate,Yes,5834,6453,455,240,1,Urban,0
LP1074,Male,Yes,2,Graduate,Yes,2477,1359,455,300,1,Rural,0
LP1075,Male,No,2,Not Graduate,No,9699,4423,302,360,0,Semiurban,0
LP1076,Male,No,2,Not Graduate,Yes,2996,1875,395,180,1,Semiurban,0
LP1077,Male,Yes,3,Not Graduate,No,4473,4795,273,360,0,Rural,0
LP1078,Female,No,2,Not Graduate,Yes,4134,2701,260,360,1,Semiurban,1
LP1079,Female,Yes,3,Graduate,No,5635,2648,109,360,0,Semiurban,0
LP1080,Female,No,0,Graduate,No,11701,6196,305,360,0,Urban,0
LP1081,Female,Yes,2,Not Graduate,No,3489,236,372,240,0,Rural,0
LP1082,Male,No,0,Graduate,Yes,9060,7758,110,240,1,Semiurban,1
LP1083,Female,No,3,Not Graduate,No,5493,3741,332,240,1,Urban,1
LP1084,Male,Yes,2,Not Graduate,No,14405,4159,186,180,1,Semiurban,1
LP1085,Female,No,1,Not Graduate,No,7154,2723,332,360,1,Rural,1
LP1086,Male,Yes,3,Graduate,No,2215,2606,431,360,1,Rural,0
LP1087,Male,No,0,Graduate,No,3144,7161,482,360,0,Semiurban,0
LP1088,Female,Yes,1,Not Graduate,Yes,2725,3846,450,300,1,Semiurban,0
LP1089,Female,Yes,2,Not Graduate,No,11769,5887,438,360,0,Semiurban,0
LP1090,Male,Yes,2,Graduate,Yes,8610,806,439,180,1,Urban,0
LP1091,Female,Yes,0,Not Graduate,Yes,6306,2936,241,360,0,Urban,0
LP1092,Female,Yes,1,Graduate,Yes,11485,7133,245,240,1,Semiurban,1
LP1093,Male,Yes,3,Not Graduate,No,5683,5462,54,360,1,Semiurban,1
LP1094,Male,Yes,3,Not Graduate,No,11968,7880,267,300,1,Rural,1
LP1095,Male,No,3,Graduate,Yes,7748,4685,233,300,1,Urban,1
LP1096,Female,No,0,Graduate,No,6189,6354,459,240,1,Urban,0
LP1097,Male,No,1,Graduate,Yes,6561,6460,275,180,1,Semiurban,1
LP1098,Male,Yes,2,Not Graduate,No,4377,1644,117,300,1,Urban,1
LP1099,Female,No,2,Not Graduate,Yes,9173,7888,88,240,0,Semiurban,0
LP1100,Female,No,0,Not Graduate,Yes,5832,4395,113,360,1,Semiurban,1
LP1101,Female,No,2,Graduate,Yes,9224,205,367,300,0,Semiurban,0
LP1102,Male,No,2,Not Graduate,Yes,3790,371,69,300,1,Urban,1
LP1103,Male,Yes,1,Not Graduate,No,7578,5492,430,360,0,Rural,0
LP1104,Male,No,3,Not Graduate,Yes,12809,3035,161,360,1,Urban,1
LP1105,Female,Yes,2,Not Graduate,Yes,8023,2260,147,180,1,Urban,1
LP1106,Male,Yes,0,Not Graduate,Yes,3563,6446,339,240,0,Semiurban,0
LP1107,Male,Yes,1,Not Graduate,Yes,14421,7377,355,180,1,Urban,0
LP1108,Male,No,1,Graduate,Yes,3659,121,233,240,1,Urban,1
LP1109,Male,No,0,Graduate,No,10119,931,431,180,1,Rural,0
LP1110,Female,Yes,3,Graduate,Yes,13415,6416,493,300,1,Semiurban,0
LP1111,Male,Yes,3,Not Graduate,No,12741,884,301,360,0,Urban,0
LP1112,Female,Yes,0,Graduate,No,11728,5186,349,300,1,Semiurban,1
LP1113,Female,No,3,Graduate,Yes,12226,5332,499,240,1,Rural,0
LP1114,Male,No,2,Not Graduate,No,8315,5976,98,300,1,Rural,1
LP1115,Female,No,1,Not Graduate,Yes,2994,6813,93,180,1,Urban,0
LP1116,Female,Yes,0,Not Graduate,Yes,8230,2896,497,360,0,Rural,0
LP1117,Female,No,0,Graduate,Yes,12259,3950,164,180,1,Semiurban,1
LP1118,Female,Yes,2,Graduate,No,10690,7983,442,180,1,Urban,0
